,student,vit,efficientnet,inception,mobilenet,resnet,densenet
student,1.0,0.9912109375,0.9912109375,0.9912109375,0.9912109375,0.99169921875,0.98876953125
vit,0.9912109375,1.0,0.99658203125,0.99658203125,0.99658203125,0.99658203125,0.98779296875
efficientnet,0.9912109375,0.99658203125,1.0,1.0,1.0,0.99609375,0.98828125
inception,0.9912109375,0.99658203125,1.0,1.0,1.0,0.99609375,0.98828125
mobilenet,0.9912109375,0.99658203125,1.0,1.0,1.0,0.99609375,0.98828125
resnet,0.99169921875,0.99658203125,0.99609375,0.99609375,0.99609375,1.0,0.986328125
densenet,0.98876953125,0.98779296875,0.98828125,0.98828125,0.98828125,0.986328125,1.0
